LOCATION,SUBURB,Reason Code,Audit Date,ADDRESS,lon,lat,type,loctype,address,north,south,east,west
Frankston-Dandenong Road,Seaford,C,Jan-22,"Frankston-Dandenong Road, Seaford, Australia",145.1479529,-38.1191605,route,geometric_center,"frankston - dandenong rd, seaford vic 3198, australia",-38.10846319999997,-38.13020760000003,145.1624719,145.1318316
Frankston-Dandenong Road,Frankston,C,Jan-22,"Frankston-Dandenong Road, Frankston, Australia",145.1360748,-38.1272063,route,geometric_center,"frankston - dandenong rd, frankston vic 3199, australia",-38.12442609999997,-38.13020760000003,145.1402447,145.1318316
Frankston-Flinders Road,Bittern,ABC,Jan-22,"Frankston-Flinders Road, Bittern, Australia",145.1718947,-38.3419563,route,geometric_center,"frankston - flinders rd, bittern vic 3918, australia",-38.31537939999997,-38.35806050000003,145.183593,145.1489532
Frankston-Flinders Road,Somerville,ABC,Jan-22,"Frankston-Flinders Road, Somerville, Australia",145.1788701,-38.2271735,route,geometric_center,"frankston - flinders rd, somerville vic 3912, australia",-38.20297029999997,-38.25697660000003,145.1916852,145.1536884
Frawley Road,Hallam,ABC,Mar-22,"Frawley Road, Hallam, Australia",145.2586998,-37.9997494,route,geometric_center,"frawley rd, hallam vic 3803, australia",-37.99637189999997,-38.00185450000003,145.2757928,145.2501202
Fryers Road,Highton,BCD,Mar-22,"Fryers Road, Highton, Australia",144.3164683,-38.1852534,route,geometric_center,"fryers rd, highton vic 3216, australia",-38.1843900197085,-38.1870879802915,144.3253351,144.3161683
Fussell Street,Ballarat East,BC,Nov-21,"Fussell Street, Ballarat East, Australia",143.893936,-37.567293,route,geometric_center,"fussell st, ballarat east vic 3350, australia",-37.55798269999998,-37.57633730000002,143.8944086,143.8915234
Fyansford-Gheringhap Road,Gheringhap,BC,Jan-22,"Fyansford-Gheringhap Road, Gheringhap, Australia",144.2491004,-38.0934804,route,geometric_center,"fyansford-gheringhap rd, gheringhap vic 3331, australia",-38.08014989999997,-38.10661250000003,144.2593247,144.2381465
Gaffney Street,Pascoe Vale,C,Apr-22,"Gaffney Street, Pascoe Vale, Australia",144.9384725,-37.7315036,route,geometric_center,"gaffney st, pascoe vale vic 3044, australia",-37.73009399999998,-37.73281780000003,144.9526729,144.9263546
Gallaghers Road,Glen Waverley,C,Apr-22,"Gallaghers Road, Glen Waverley, Australia",145.1775512,-37.88321,route,geometric_center,"gallaghers rd, glen waverley vic 3150, australia",-37.8746483,-37.8905438,145.1803604,145.1748396
Gap Road,Sunbury,ABC,Apr-22,"Gap Road, Sunbury, Australia",144.7001749,-37.5774335,route,geometric_center,"gap rd, sunbury vic 3429, australia",-37.57569409999997,-37.58144910000002,144.7263523,144.6757626
Garden Road,Doreen,ABCD,Apr-22,"Garden Road, Doreen, Australia",145.1310393,-37.6115604,route,geometric_center,"garden rd, doreen vic 3754, australia",-37.6046713,-37.6172265,145.1334448,145.1286167
Gardenia Street,Horsham,AC,Jul-21,"Gardenia Street, Horsham, Australia",142.1928257,-36.7195613,route,geometric_center,"gardenia st, horsham vic 3400, australia",-36.7164553,-36.7235291,142.1942388302915,142.1915408697085
Gardner and Holman Road,Drouin,BCD,T,"Gardner and Holman Road, Drouin, Australia",145.8105781,-38.1481995,route,geometric_center,"gardner and holman rd, drouin vic 3818, australia",-38.12425969999997,-38.17515370000002,145.8346457,145.7927395
Gateshead Drive,Wantirna South,BCD,May-21,"Gateshead Drive, Wantirna South, Australia",145.2384533,-37.865461,route,geometric_center,"gateshead dr, wantirna south vic 3152, australia",-37.86206519999998,-37.86681240000002,145.242633,145.2372273
Gear Avenue,Mount Helen,BC,Nov-21,"Gear Avenue, Mount Helen, Australia",143.8967799,-37.6298815,route,geometric_center,"gear ave, mount helen vic 3350, australia",-37.6265075,-37.6333626,143.9133772,143.8800901
Geelong-Bacchus Marsh Road,Balliang East,C,Nov-21,"Geelong-Bacchus Marsh Road, Balliang East, Australia",144.4142493,-37.7946004,route,geometric_center,"geelong-bacchus marsh rd, balliang east vic 3340, australia",-37.77393749999997,-37.81889340000002,144.4385514,144.3975716
Geelong-Bacchus Marsh Road,Bacchus Marsh,C,Nov-21,"Geelong-Bacchus Marsh Road, Bacchus Marsh, Australia",144.442917,-37.6929724,route,geometric_center,"geelong-bacchus marsh rd, bacchus marsh vic 3340, australia",-37.69156861970851,-37.6942665802915,144.4441812302915,144.4414832697085
Geelong-Ballan Road,Beremboke,ABC,T,"Geelong-Ballan Road, Beremboke, Australia",144.2143014,-37.7878456,route,geometric_center,"geelong-ballan rd, beremboke vic 3342, australia",-37.76376559999998,-37.81628580000002,144.2185605,144.1941148
Geelong-Ballan Road,Mount Wallace,ABC,T,"Geelong-Ballan Road, Mount Wallace, Australia",144.2178962,-37.734472,route,geometric_center,"geelong-ballan rd, mount wallace vic 3342, australia",-37.68255949999997,-37.78544250000002,144.2266337,144.214746
Geelong-Ballan Road,Ballan,ABC,Nov-21,"Geelong-Ballan Road, Ballan, Australia",144.2145816,-37.6296681,route,geometric_center,"geelong-ballan rd, ballan vic 3342, australia",-37.59002799999998,-37.66902720000002,144.2304512,144.2032924
George Street,Sandringham,AC,T,"George Street, Sandringham, Australia",145.0288954,-37.9591116,route,geometric_center,"george st, sandringham vic 3191, australia",-37.95484069999998,-37.96318500000002,145.0302859302915,145.0275879697085
George Street,Hamilton,C,Apr-22,"George Street, Hamilton, Australia",142.0343551,-37.7455669,route,geometric_center,"george st, hamilton vic 3300, australia",-37.7418035,-37.7498288,142.0358012802915,142.0331033197085
George Street,Doncaster,C,Apr-22,"George Street, Doncaster, Australia",145.1331218,-37.7787058,route,geometric_center,"george st, doncaster vic 3108, australia",-37.77756879999998,-37.78040630000002,145.1453208,145.121087
Gibsons Road,Sale,C,Jan-22,"Gibsons Road, Sale, Australia",147.0871117,-38.0827654,route,geometric_center,"gibsons rd, victoria, australia",-38.0696859,-38.0964274,147.0900455,147.0844094
Gilbert Road,Reservoir,ABCD,Apr-22,"Gilbert Road, Reservoir, Australia",144.9925502,-37.7235022,route,geometric_center,"gilbert rd, reservoir vic 3073, australia",-37.71646479999997,-37.73387700000003,144.9934244302915,144.9907264697085
Gillies Road,Ascot,BC,Nov-21,"Gillies Road, Ascot, Australia",143.8492323,-37.401619,route,geometric_center,"gillies rd, ascot vic 3364, australia",-37.37477739999997,-37.42878630000003,143.8543706,143.8438579
Gillies Road,Bald Hills,BC,Nov-21,"Gillies Road, Bald Hills, Australia",143.8411909,-37.4424694,route,geometric_center,"gillies rd, bald hills vic 3364, australia",-37.42795579999997,-37.46471190000002,143.8440033,143.8364404
Gillies Road,Mount Rowan,BC,Nov-21,"Gillies Road, Mount Rowan, Australia",143.8301084,-37.4982076,route,geometric_center,"gillies rd, mount rowan vic 3352, australia",-37.48354449999997,-37.51537190000002,143.8329036,143.826759
Gillies Road,Sulky,BC,Nov-21,"Gillies Road, Sulky, Australia",143.8377189,-37.4590003,route,geometric_center,"gillies rd, sulky vic 3352, australia",-37.43602569999998,-37.47946910000002,143.8424184,143.8336629
Gillies Street,Maryborough,BCD,Nov-21,"Gillies Street, Maryborough, Australia",143.7480732,-37.0504859,route,geometric_center,"gillies st, maryborough vic 3465, australia",-37.0419335,-37.05845050000001,143.750475,143.7382712
Gillwell Road,Lalor,BCD,May-22,"Gillwell Road, Lalor, Australia",144.9962313,-37.6651742,route,geometric_center,"gillwell rd, lalor vic 3075, australia",-37.65841889999998,-37.67152630000002,144.9971871302915,144.9944891697085
Gisborne Road,Bacchus Marsh,C,Nov-21,"Gisborne Road, Bacchus Marsh, Australia",144.4413685,-37.6610244,route,geometric_center,"gisborne rd, bacchus marsh vic 3340, australia",-37.650043099999976,-37.67545270000004,144.4536456,144.4353195
Gisborne-Melton Road,Kurunjang,ABC,May-22,"Gisborne-Melton Road, Kurunjang, Australia",144.6005336,-37.6604222,route,geometric_center,"gisborne-melton rd, kurunjang vic 3337, australia",-37.64647829999997,-37.67596150000003,144.6027177,144.5974891
Gisborne-Melton Road,Toolern Vale,ABC,May-22,"Gisborne-Melton Road, Toolern Vale, Australia",144.5888543,-37.6030054,route,geometric_center,"gisborne-melton rd, toolern vale vic 3337, australia",-37.55400119999997,-37.65252760000002,144.6027177,144.5706423
Gisborne-Melton Road,Melton,BC,May-22,"Gisborne-Melton Road, Melton, Australia",144.6013095,-37.6568279,route,geometric_center,"gisborne-melton rd, melton vic 3337, australia",-37.63709329999998,-37.67596150000003,144.6027177,144.5974891
Gladesville Boulevard,Patterson Lakes,ACD,Sep-21,"Gladesville Boulevard, Patterson Lakes, Australia",145.1456958,-38.0704727,route,geometric_center,"gladesville blvd, patterson lakes vic 3197, australia",-38.06000969999999,-38.0802841,145.1486206,145.1375834
Gladstone Road,Dandenong North,C,T,"Gladstone Road, Dandenong North, Australia",145.2075881,-37.9551849,route,geometric_center,"gladstone rd, dandenong north vic 3175, australia",-37.93922039999998,-37.97035510000003,145.2106308,145.2047512
Gladstone Street,Maryborough,C,Apr-22,"Gladstone Street, Maryborough, Australia",143.7297457,-37.040761,route,geometric_center,"gladstone st, maryborough vic 3465, australia",-37.0315743,-37.0505849,143.7450509,143.7152249
Glen Huntly Road,Elwood,BC,May-22,"Glen Huntly Road, Elwood, Australia",144.987773,-37.8827824,route,geometric_center,"glen huntly rd, elwood vic 3184, australia",-37.8814267697085,-37.8841247302915,144.9975431,144.9774055
Glen Katherine Drive,St Helena,B,Apr-22,"Glen Katherine Drive, St Helena, Australia",145.133302,-37.6926698,route,geometric_center,"glen katherine dr, st helena vic 3088, australia",-37.69090291970851,-37.69360088029151,145.1360038,145.1300641
Glencairn Drive,Greenvale,BC,Apr-22,"Glencairn Drive, Greenvale, Australia",144.8897849,-37.6476242,route,geometric_center,"glencairn dr, greenvale vic 3059, australia",-37.6427975,-37.651717,144.891002,144.8882509
Glenelg Highway,Dunkeld,ABC,Apr-22,"Glenelg Highway, Dunkeld, Australia",142.3487453,-37.6501361,route,geometric_center,"glenelg hwy, dunkeld vic 3294, australia",-37.63753529999997,-37.68435220000003,142.4536884,142.2322524
Glenelg Highway,Lake Bolac,AC,Jul-21,"Glenelg Highway, Lake Bolac, Australia",142.8422265,-37.7115515,route,geometric_center,"glenelg hwy, lake bolac vic 3351, australia",-37.68752109999998,-37.71655530000003,142.9499806,142.7186301
Glenelg Highway,Wickliffe,AC,Jul-21,"Glenelg Highway, Wickliffe, Australia",142.7186301,-37.6875211,route,geometric_center,"glenelg hwy, wickliffe vic 3379, australia",-37.65650449999998,-37.71655530000003,142.8063298,142.6350105
Glenelg Highway,Warrayure,AC,Apr-22,"Glenelg Highway, Warrayure, Australia",142.1742357,-37.7108531,route,geometric_center,"glenelg hwy, warrayure vic 3301, australia",-37.68814939999997,-37.73146500000002,142.2266239,142.1217573
Glenelg Highway,Smythesdale,BC,T,"Glenelg Highway, Smythesdale, Australia",143.6763551,-37.6499372,route,geometric_center,"glenelg hwy, smythesdale vic 3351, australia",-37.61012359999998,-37.68171930000003,143.7342887,143.6172094
Glenelg Highway,Pittong,C,T,"Glenelg Highway, Pittong, Australia",143.4782986,-37.668577,route,geometric_center,"glenelg hwy, pittong vic 3360, australia",-37.66769639999996,-37.68464470000003,143.528266,143.4279979
Glenelg Highway,Streatham,C,Jul-21,"Glenelg Highway, Streatham, Australia",143.0757764,-37.6830847,route,geometric_center,"glenelg hwy, streatham vic 3351, australia",-37.67922329999997,-37.69774500000003,143.1503456,142.9993809
Glenelg Highway,Westmere,C,Jul-21,"Glenelg Highway, Westmere, Australia",142.9722531,-37.6884409,route,geometric_center,"glenelg hwy, westmere vic 3351, australia",-37.68031399999997,-37.69362030000002,143.045913,142.9007282
Glenelg Highway,Carranballac,C,Sep-21,"Glenelg Highway, Carranballac, Australia",143.1791739,-37.6998071,route,geometric_center,"glenelg hwy, carranballac vic 3361, australia",-37.68453049999998,-37.70370470000002,143.2751543,143.0920929
Glenelg Highway,Casterton,C,Oct-21,"Glenelg Highway, Casterton, Australia",141.3568101,-37.6030359,route,geometric_center,"glenelg hwy, casterton vic 3311, australia",-37.55795769999997,-37.67484300000002,141.517814,141.2166715
Glenelg Highway,Wilkin,C,Oct-21,"Glenelg Highway, Wilkin, Australia",142.3635674,-37.6530319,route,geometric_center,"glenelg hwy, australia",-37.5117751,-37.8680649,143.8454596,140.7724974
Glenelg Highway,Skipton,C,Nov-21,"Glenelg Highway, Skipton, Australia",143.3351166,-37.6861136,route,geometric_center,"glenelg hwy, skipton vic 3361, australia",-37.67113509999997,-37.70370470000002,143.4536634,143.222037
Glenelg Highway,Smythes Creek,C,Nov-21,"Glenelg Highway, Smythes Creek, Australia",143.7653366,-37.5992414,route,geometric_center,"glenelg hwy, smythes creek vic 3351, australia",-37.58923809999997,-37.61357520000003,143.8073949,143.7266592
Glenelg Highway,Coleraine,C,Apr-22,"Glenelg Highway, Coleraine, Australia",141.6858308,-37.5976015,route,geometric_center,"glenelg hwy, coleraine vic 3315, australia",-37.57646639999998,-37.63879330000002,141.7961709,141.5607839
Glenelg Highway,Glenthompson,C,Apr-22,"Glenelg Highway, Glenthompson, Australia",142.5389939,-37.6363483,route,geometric_center,"glenelg hwy, glenthompson vic 3293, australia",-37.63453139999997,-37.65262410000003,142.6186753,142.419607
Glenelg Highway,Hamilton,C,Apr-22,"Glenelg Highway, Hamilton, Australia",142.0061665,-37.7303123,route,geometric_center,"glenelg hwy, hamilton vic 3300, australia",-37.70835689999998,-37.74399270000004,142.0986965,141.9349241
Glenelg Highway,Wannon,C,Apr-22,"Glenelg Highway, Wannon, Australia",141.8335964,-37.6650567,route,geometric_center,"glenelg hwy, wannon vic 3301, australia",-37.63122539999998,-37.69251380000002,141.8958299,141.7836456
Glenfern Road,Upwey,ABC,Jul-21,"Glenfern Road, Upwey, Australia",145.3214276,-37.917517,route,geometric_center,"glenfern rd, upwey vic 3158, australia",-37.90654049999998,-37.91908760000003,145.3398936,145.310736
Glenferrie Road,Malvern,C,May-22,"Glenferrie Road, Malvern, Australia",145.029287,-37.8566205,route,geometric_center,"glenferrie rd, malvern vic 3144, australia",-37.84378909999997,-37.86636050000003,145.0315388,145.0273859
Glengala Road,Sunshine West,C,T,"Glengala Road, Sunshine West, Australia",144.811098,-37.788518,route,geometric_center,"glengala rd, sunshine west vic 3020, australia",-37.78634839999997,-37.79058060000003,144.8269386,144.7911162
Glengarry West Road,Glengarry West,AC,T,"Glengarry West Road, Glengarry West, Australia",146.5236481,-38.1471627,route,geometric_center,"glengarry w rd, glengarry west vic 3854, australia",-38.13642839999998,-38.15382540000002,146.5418499,146.4863055
Glenrowan Myrtleford Road,Markwood,C,May-21,"Glenrowan Myrtleford Road, Markwood, Australia",146.724543,-36.5533215,locality,approximate,"myrtleford vic 3737, australia",-36.5115959,-36.6433372,146.802789,146.6861383
Glenrowan-Myrtleford Road,Whorouly,ABC,May-21,"Glenrowan-Myrtleford Road, Whorouly, Australia",146.5890329,-36.5040581,locality,approximate,"whorouly vic 3735, australia",-36.4721078,-36.565889,146.636082,146.532002
Glenrowan-Myrtleford Road,Laceby,AC,May-21,"Glenrowan-Myrtleford Road, Laceby, Australia",146.3811841,-36.4432173,establishment,geometric_center,"green st &, shadforth st, oxley vic 3678, australia",-36.4418928197085,-36.4445907802915,146.3827062302915,146.3800082697085
Glenroy Road,Glenroy,C,Apr-22,"Glenroy Road, Glenroy, Australia",144.9269733,-37.7061069,route,geometric_center,"glenroy rd, glenroy vic 3046, australia",-37.7034927,-37.7084014,144.9384713,144.9157652
Golf Links Road,Narre Warren,B,Mar-22,"Golf Links Road, Narre Warren, Australia",145.3190594,-38.0440639,route,geometric_center,"golf links rd, narre warren vic 3805, australia",-38.04146849999997,-38.04440180000002,145.3335019,145.3039546
Golf Links Road,Frankston,C,Jan-22,"Golf Links Road, Frankston, Australia",145.1468297,-38.1713788,route,geometric_center,"golf links rd, frankston vic 3199, australia",-38.16321419999998,-38.17711030000002,145.1531911,145.1363902
Goodwin Street,Benalla,BC,Feb-22,"Goodwin Street, Benalla, Australia",145.9690845,-36.5497462,route,geometric_center,"goodwin st, benalla vic 3672, australia",-36.5471445,-36.5522226,145.9741498,145.963705
Gordons Road,South Morang,BCD,Apr-22,"Gordons Road, South Morang, Australia",145.0843368,-37.6362333,route,geometric_center,"gordons rd, south morang vic 3752, australia",-37.62372,-37.6400582,145.102412,145.0672551
Gorge Road,South Morang,AC,Apr-22,"Gorge Road, South Morang, Australia",145.0972674,-37.6521749,route,geometric_center,"gorge rd, south morang vic 3752, australia",-37.64937959999997,-37.65244840000003,145.1088813,145.0879123
Goulburn Valley Freeway,Mangalore,AC,Oct-21,"Goulburn Valley Freeway, Mangalore, Australia",145.143606,-36.925806,route,geometric_center,"goulburn valley fwy, mangalore vic 3663, australia",-36.87853459999997,-36.97094360000002,145.1445093802915,145.1418114197085
Goulburn Valley Freeway,Nagambie,C,Oct-21,"Goulburn Valley Freeway, Nagambie, Australia",145.1783892,-36.7915072,route,geometric_center,"goulburn valley fwy, nagambie vic 3608, australia",-36.73002879999997,-36.85248180000003,145.1894666,145.1422364
Goulburn Valley Freeway,Wahring,C,Oct-21,"Goulburn Valley Freeway, Wahring, Australia",145.2250928,-36.6886623,route,geometric_center,"goulburn valley fwy, wahring vic 3608, australia",-36.64160889999997,-36.75205500000003,145.2875556,145.1785099
Goulburn Valley Freeway,Moorilim,C,Apr-22,"Goulburn Valley Freeway, Moorilim, Australia",145.3013202,-36.6239593,route,geometric_center,"goulburn valley fwy, moorilim vic 3610, australia",-36.59100789999997,-36.66400620000002,145.3313005,145.2754223
Goulburn Valley Freeway,Arcadia,B,Apr-22,"Goulburn Valley Freeway, Arcadia, Australia",145.3811689,-36.5113662,route,geometric_center,"goulburn valley hwy, arcadia vic 3631, australia",-36.49913539999998,-36.52488450000003,145.38857,145.3727814
Goulburn Valley Highway,Numurkah,ABC,Oct-21,"Goulburn Valley Highway, Numurkah, Australia",145.4317804,-36.0830924,route,geometric_center,"goulburn valley hwy, numurkah vic 3636, australia",-36.01495939999997,-36.14137620000002,145.4331154302915,145.4304174697085
Goulburn Valley Highway,Seymour,ABC,Oct-21,"Goulburn Valley Highway, Seymour, Australia",145.1639752,-37.0434807,route,geometric_center,"goulburn valley hwy, seymour vic 3660, australia",-36.98633229999998,-37.09041960000003,145.2008757,145.1289818
Goulburn Valley Highway,Molesworth,AC,Oct-21,"Goulburn Valley Highway, Molesworth, Australia",145.5304155,-37.1682173,route,geometric_center,"goulburn valley hwy, molesworth vic 3718, australia",-37.15226699999997,-37.19668750000002,145.5778667,145.4739165
Goulburn Valley Highway,Koriella,C,Sep-21,"Goulburn Valley Highway, Koriella, Australia",145.6565782,-37.1555267,route,geometric_center,"goulburn valley hwy, koriella vic 3714, australia",-37.14328669999998,-37.17504810000003,145.6851781,145.6223946
Goulburn Valley Highway,Koonoomoo,C,Oct-21,"Goulburn Valley Highway, Koonoomoo, Australia",145.5589163,-35.8562432,route,geometric_center,"goulburn valley hwy, koonoomoo vic 3644, australia",-35.81406409999997,-35.89937600000002,145.5743097,145.550295
Goulburn Valley Highway,Wunghnu,C,Oct-21,"Goulburn Valley Highway, Wunghnu, Australia",145.4317727,-36.1657872,route,geometric_center,"goulburn valley hwy, wunghnu vic 3635, australia",-36.13132919999996,-36.19853170000003,145.4331297802915,145.4304318197085
Goulburn Valley Highway,Eildon,C,Oct-21,"Goulburn Valley Highway, Eildon, Australia",145.882647,-37.2532209,route,geometric_center,"goulburn valley hwy, eildon vic 3713, australia",-37.23419909999998,-37.25985070000002,145.911361,145.859322
Goulburn Valley Highway,Homewood,C,Oct-21,"Goulburn Valley Highway, Homewood, Australia",145.316785,-37.1793222,route,geometric_center,"goulburn valley hwy, homewood vic 3717, australia",-37.15233129999997,-37.20349030000002,145.3576932,145.2734634
Goulburn Valley Highway,Kialla West,C,Apr-22,"Goulburn Valley Highway, Kialla West, Australia",145.3887603,-36.4786504,route,geometric_center,"goulburn valley hwy, kialla west vic 3631, australia",-36.45696379999998,-36.49943770000003,145.3899824802915,145.3872845197085
Goulburn Valley Highway,Tallygaroopna,C,Apr-22,"Goulburn Valley Highway, Tallygaroopna, Australia",145.4317135,-36.239902,route,geometric_center,"goulburn valley hwy, tallygaroopna vic 3634, australia",-36.20244979999998,-36.27822170000002,145.4329430802915,145.4302451197085
Goulburn Valley Hwy,Shepparton North,AC,Apr-22,"Goulburn Valley Hwy, Shepparton North, Australia",145.4061841,-36.3310211,route,geometric_center,"goulburn valley hwy, shepparton north vic 3631, australia",-36.32004079999997,-36.34753190000002,145.4162263,145.4021718
Gourlay Road,Hillside,ABCD,May-22,"Gourlay Road, Hillside, Australia",144.7428503,-37.6993878,route,geometric_center,"gourlay rd, hillside vic 3037, australia",-37.69183499999998,-37.70671150000002,144.7444077,144.7413573
Gourlay Road,Taylors Hill,BC,May-22,"Gourlay Road, Taylors Hill, Australia",144.739997,-37.7131638,route,geometric_center,"gourlay rd, taylors hill vic 3037, australia",-37.70400329999998,-37.72226170000002,144.7420419,144.7381709
Governor Road,Braeside,AC,May-22,"Governor Road, Braeside, Australia",145.1217383,-38.0092564,route,geometric_center,"governor rd, braeside vic 3195, australia",-38.00714309999997,-38.01113070000002,145.1409113,145.1032158
Goynes Road,Epsom,ABCD,Apr-22,"Goynes Road, Epsom, Australia",144.3083527,-36.7113567,route,geometric_center,"goynes rd, epsom vic 3551, australia",-36.7038809,-36.71802780000001,144.3098302,144.3067573
Graham Street,Port Melbourne,ABCD,May-22,"Graham Street, Port Melbourne, Australia",144.9390131,-37.8391679,route,geometric_center,"graham st, port melbourne vic 3207, australia",-37.82877599999997,-37.84559520000003,144.9500222,144.9313196
Grampians Road,Mokepilly,AC,Jul-21,"Grampians Road, Mokepilly, Australia",142.6464076,-37.0880049,route,geometric_center,"grampians rd, mokepilly vic 3381, australia",-37.06479379999997,-37.09373010000002,142.6787914,142.6056537
Grampians Road,Halls Gap,C,Jul-21,"Grampians Road, Halls Gap, Australia",142.5290855,-37.1572484,route,geometric_center,"grampians rd, halls gap vic 3381, australia",-37.10809529999997,-37.19849100000002,142.5814022,142.5188354
Grange Drive,South Morang,BC,Apr-22,"Grange Drive, South Morang, Australia",145.0862864,-37.6376126,route,geometric_center,"grange dr, south morang vic 3752, australia",-37.6315841,-37.6441845,145.0879338,145.0851764
Grange Road,Toorak,ABC,May-22,"Grange Road, Toorak, Australia",145.0118753,-37.8348647,route,geometric_center,"grange rd, toorak vic 3142, australia",-37.83010309999997,-37.84130740000003,145.0130731802915,145.0103752197085
Grange Road,Alphington,AC,Apr-22,"Grange Road, Alphington, Australia",145.0262851,-37.7724689,route,geometric_center,"grange rd, alphington vic 3078, australia",-37.76621499999997,-37.78194210000002,145.0274637802915,145.0247658197085
Grano Street,Ararat,B,Jul-21,"Grano Street, Ararat, Australia",142.9524018,-37.2774951,route,geometric_center,"grano st, ararat vic 3377, australia",-37.2721005,-37.2837874,142.9653755,142.9385002
Grants Road,Eden Park,C,Apr-22,"Grants Road, Eden Park, Australia",145.0689269,-37.5238702,route,geometric_center,"grants rd, eden park vic 3757, australia",-37.52084949999997,-37.52729520000002,145.0981395,145.0417239
Grants Road,Whittlesea,AC,Apr-22,"Grants Road, Whittlesea, Australia",145.0866387,-37.5258385,route,geometric_center,"grants rd, whittlesea vic 3757, australia",-37.52358919999996,-37.52729520000002,145.1124005,145.0664605
Gravesend Street,Colac,AC,Jan-22,"Gravesend Street, Colac, Australia",143.5844305,-38.3489481,route,geometric_center,"gravesend st, colac vic 3250, australia",-38.34339689999999,-38.3532304,143.5858877,143.5831814
Gray Street,Swan Hill,C,Oct-21,"Gray Street, Swan Hill, Australia",143.5476285,-35.3467398,route,geometric_center,"gray st, swan hill vic 3585, australia",-35.3417695,-35.3507019,143.5635637,143.5311042
Graydens Road,Hastings,ABC,Jan-22,"Graydens Road, Hastings, Australia",145.162987,-38.2846351,route,geometric_center,"graydens rd, hastings vic 3915, australia",-38.2832938697085,-38.2859918302915,145.1835773,145.1452526
Great Alpine Road,Bowmans Forest,ABC,May-21,"Great Alpine Road, Bowmans Forest, Australia",146.6308665,-36.478413,route,geometric_center,"great alpine rd, bowmans forest vic 3735, australia",-36.46337429999997,-36.52273940000003,146.6815918,146.5778418
Great Alpine Road,Eurobin,ABC,May-21,"Great Alpine Road, Eurobin, Australia",146.8454501,-36.6298246,route,geometric_center,"great alpine rd, eurobin vic 3739, australia",-36.60578829999997,-36.68087140000003,146.8916056,146.7854731
Great Alpine Road,Ovens,B,May-21,"Great Alpine Road, Ovens, Australia",147.0803019,-37.0092306,route,geometric_center,"great alpine rd, victoria, australia",-36.3471527,-37.843571,147.9162555,146.3320773
Great Alpine Road,Doctors Flat,BC,Sep-21,"Great Alpine Road, Doctors Flat, Australia",147.7483331,-37.2982754,route,geometric_center,"great alpine rd, doctors flat vic 3895, australia",-37.27987279999999,-37.31502120000003,147.7607236,147.7366622
Great Alpine Road,Granite Rock,C,Sep-21,"Great Alpine Road, Granite Rock, Australia",147.0803019,-37.0092306,route,geometric_center,"great alpine rd, victoria, australia",-36.3471527,-37.843571,147.9162555,146.3320773
Great Alpine Road,Omeo,C,Sep-21,"Great Alpine Road, Omeo, Australia",147.5082849,-37.1366645,route,geometric_center,"great alpine rd, omeo vic 3898, australia",-37.05748869999997,-37.24141170000004,147.7241919,147.3284175
Great Alpine Road,Wiseleigh,C,Sep-21,"Great Alpine Road, Wiseleigh, Australia",147.8050267,-37.7195784,route,geometric_center,"great alpine rd, wiseleigh vic 3885, australia",-37.70948829999998,-37.72975190000001,147.8202056,147.7884518
Great Alpine Road,Sarsfield,C,Sep-21,"Great Alpine Road, Sarsfield, Australia",147.7370239,-37.750721,route,geometric_center,"great alpine rd, sarsfield vic 3875, australia",-37.71199289999998,-37.79697020000001,147.8085513,147.6650749
Great Alpine Road,Swifts Creek,C,Sep-21,"Great Alpine Road, Swifts Creek, Australia",147.7212821,-37.2627083,route,geometric_center,"great alpine rd, swifts creek vic 3896, australia",-37.17764379999998,-37.32216560000003,147.7723394,147.7040967
Great Ocean  Road,Anglesea,ABCD,Jan-22,"Great Ocean  Road, Anglesea, Australia",144.1863305,-38.4072825,route,geometric_center,"great ocean rd, anglesea vic 3230, australia",-38.37243529999998,-38.43782820000002,144.2343081,144.1258387
Great Ocean  Road,Apollo Bay,C,Jan-22,"Great Ocean  Road, Apollo Bay, Australia",143.6689782,-38.7545479,route,geometric_center,"great ocean rd, apollo bay vic 3233, australia",-38.72740569999998,-38.78464320000003,143.7051266,143.5857236
Great Ocean Road,Lorne,ABC,Jan-22,"Great Ocean Road, Lorne, Australia",143.9752512,-38.5385072,route,geometric_center,"great ocean rd, lorne vic 3232, australia",-38.49618079999997,-38.57960920000003,144.0127855,143.9451718
Great Ocean Road,Wongarra,AC,Jan-22,"Great Ocean Road, Wongarra, Australia",143.7902944,-38.6978686,route,geometric_center,"great ocean rd, wongarra vic 3234, australia",-38.67687909999998,-38.71564780000003,143.8431312,143.7358478
Great Ocean Road,Port Campbell,BC,Nov-21,"Great Ocean Road, Port Campbell, Australia",143.015847,-38.6233558,route,geometric_center,"great ocean rd, port campbell vic 3269, australia",-38.61194099999997,-38.65054500000002,143.0840454,142.936771
Great Ocean Road,Peterborough,C,Nov-21,"Great Ocean Road, Peterborough, Australia",142.859903,-38.5963231,route,geometric_center,"great ocean rd, peterborough vic 3270, australia",-38.55141119999997,-38.62176520000003,142.9408666,142.8174243
Great Ocean Road,Skenes Creek,C,Jan-22,"Great Ocean Road, Skenes Creek, Australia",143.7164195,-38.7246362,route,geometric_center,"great ocean rd, skenes creek vic 3233, australia",-38.71617319999997,-38.72979640000003,143.7338751,143.6986422
