State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesSuburb,PremisesStateAb,PremisesPostCode,Latitude,Longitude,StateAb,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,13,1,Panania North,Panania North Public School,202-204 Bransgrove Rd,PANANIA,NSW,2213,-33.9451,150.999,NSW,Panania North,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,877,-5.79
NSW,103,Banks,14,1,Panania South,Panania Public School,21A Lawler St,PANANIA,NSW,2213,-33.9661,151,NSW,Panania South,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1453,3.63
NSW,103,Banks,14,1,Panania South,Panania Public School,21A Lawler St,PANANIA,NSW,2213,-33.9661,151,NSW,Panania South,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,1011,-3.63
NSW,103,Banks,16,1,Peakhurst East,Peakhurst Public School,65A Bonds Rd,PEAKHURST,NSW,2210,-33.9553,151.061,NSW,Peakhurst East,33334,COLEMAN,David,1,Y,Y,LP,Liberal,925,3.14
NSW,103,Banks,16,1,Peakhurst East,Peakhurst Public School,65A Bonds Rd,PEAKHURST,NSW,2210,-33.9553,151.061,NSW,Peakhurst East,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,878,-3.14
NSW,103,Banks,17,1,Peakhurst South,Peakhurst South Public School,45 Pindari Rd,PEAKHURST HEIGHTS,NSW,2210,-33.9728147,151.0555257,NSW,Peakhurst South,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1070,2.31
NSW,103,Banks,17,1,Peakhurst South,Peakhurst South Public School,45 Pindari Rd,PEAKHURST HEIGHTS,NSW,2210,-33.9728147,151.0555257,NSW,Peakhurst South,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,690,-2.31
NSW,103,Banks,18,1,Peakhurst West,Peakhurst West Public School,Ogilvy St,PEAKHURST,NSW,2210,-33.9616492,151.0489593,NSW,Peakhurst West,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1339,3.69
NSW,103,Banks,18,1,Peakhurst West,Peakhurst West Public School,Ogilvy St,PEAKHURST,NSW,2210,-33.9616492,151.0489593,NSW,Peakhurst West,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,977,-3.69
NSW,103,Banks,19,1,Penshurst,Wesley Penshurst Uniting Church Hall,96 Penshurst St,PENSHURST,NSW,2222,-33.962239,151.086054,NSW,Penshurst,33334,COLEMAN,David,1,Y,Y,LP,Liberal,619,10.01
NSW,103,Banks,19,1,Penshurst,Wesley Penshurst Uniting Church Hall,96 Penshurst St,PENSHURST,NSW,2222,-33.962239,151.086054,NSW,Penshurst,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,438,-10.01
NSW,103,Banks,22,1,Picnic Point North,Picnic Point High School,61 Kennedy St,PICNIC POINT,NSW,2213,-33.9649,151.01,NSW,Picnic Point North,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1068,4.41
NSW,103,Banks,22,1,Picnic Point North,Picnic Point High School,61 Kennedy St,PICNIC POINT,NSW,2213,-33.9649,151.01,NSW,Picnic Point North,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,656,-4.41
NSW,103,Banks,25,1,Revesby North (Banks),Revesby Public School,67 Victoria St,REVESBY,NSW,2212,-33.9447,151.017,NSW,Revesby North (Banks),33334,COLEMAN,David,1,Y,Y,LP,Liberal,992,10.24
NSW,103,Banks,25,1,Revesby North (Banks),Revesby Public School,67 Victoria St,REVESBY,NSW,2212,-33.9447,151.017,NSW,Revesby North (Banks),32664,GAMBIAN,Chris,3,N,N,ALP,Labor,915,-10.24
NSW,103,Banks,26,1,Revesby South,Revesby South Public School,Mars St,REVESBY,NSW,2212,-33.9605,151.017,NSW,Revesby South,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1187,4.45
NSW,103,Banks,26,1,Revesby South,Revesby South Public School,Mars St,REVESBY,NSW,2212,-33.9605,151.017,NSW,Revesby South,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,974,-4.45
NSW,103,Banks,27,1,Riverwood North,Riverwood Public School,11 Union St,RIVERWOOD,NSW,2210,-33.9476795,151.047088,NSW,Riverwood North,33334,COLEMAN,David,1,Y,Y,LP,Liberal,336,10.27
NSW,103,Banks,27,1,Riverwood North,Riverwood Public School,11 Union St,RIVERWOOD,NSW,2210,-33.9476795,151.047088,NSW,Riverwood North,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,586,-10.27
NSW,103,Banks,28,1,Riverwood South,"St Andrew's Church Hall",9 Littleton St,RIVERWOOD,NSW,2210,-33.9524734,151.0532173,NSW,Riverwood South,33334,COLEMAN,David,1,Y,Y,LP,Liberal,660,7.78
NSW,103,Banks,28,1,Riverwood South,"St Andrew's Church Hall",9 Littleton St,RIVERWOOD,NSW,2210,-33.9524734,151.0532173,NSW,Riverwood South,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,594,-7.78
NSW,103,Banks,31,1,Allawah,PJ Ferry Reserve Community Hall,147B Bellevue Pde,ALLAWAH,NSW,2218,-33.9767897,151.1148974,NSW,Allawah,33334,COLEMAN,David,1,Y,Y,LP,Liberal,676,1.69
NSW,103,Banks,31,1,Allawah,PJ Ferry Reserve Community Hall,147B Bellevue Pde,ALLAWAH,NSW,2218,-33.9767897,151.1148974,NSW,Allawah,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,659,-1.69
NSW,104,Barton,32,1,Arncliffe,Arncliffe Community Centre Coronation Hall,23 Barden St,ARNCLIFFE,NSW,2205,-33.938,151.144,NSW,Arncliffe,32681,BURNEY,Linda,1,Y,Y,ALP,Labor,641,-0.45
NSW,104,Barton,32,1,Arncliffe,Arncliffe Community Centre Coronation Hall,23 Barden St,ARNCLIFFE,NSW,2205,-33.938,151.144,NSW,Arncliffe,33269,SHRESTHA,Pramej,2,N,N,LP,Liberal,357,0.45
NSW,112,Cook,33,1,Blakehurst South,Bald Face Public School,84 Stuart St,BLAKEHURST,NSW,2221,-33.996455,151.1066889,NSW,Blakehurst South,33135,MORRISON,Scott,1,Y,Y,LP,Liberal,1308,1.86
NSW,112,Cook,33,1,Blakehurst South,Bald Face Public School,84 Stuart St,BLAKEHURST,NSW,2221,-33.996455,151.1066889,NSW,Blakehurst South,32745,"O'BRIEN",Simon,3,N,N,ALP,Labor,421,-1.86
NSW,104,Barton,34,1,Arncliffe Central,Arncliffe Public School,168 Princes Hwy,ARNCLIFFE,NSW,2205,-33.9406,151.147,NSW,Arncliffe Central,32681,BURNEY,Linda,1,Y,Y,ALP,Labor,883,-1.2
NSW,104,Barton,34,1,Arncliffe Central,Arncliffe Public School,168 Princes Hwy,ARNCLIFFE,NSW,2205,-33.9406,151.147,NSW,Arncliffe Central,33269,SHRESTHA,Pramej,2,N,N,LP,Liberal,485,1.2
